index,text,company,positive,negative,notr
887,Bizim İnternet Gebze internet hizmetinden asla yararlanamıyorum. Aradığımda internet kullanıyorsunuz deniyor ama asla giremediğimi söylediğimde arıza kaydı açarız ama servis ücreti ödersiniz deniyor. Ücreti kabul etmeden arıza kaydı açmıyorlar. Kullanmadığım hizmetin parasını ödüyorum bir de çözüm için ücret talep ediliyor. Böyle bir hizmet olamaz.,Bizim İnternet Gebze,,asla yararlanamıyorum|Kullanmadığım hizmetin parasını ödüyorum bir de çözüm için ücret talep ediliyor|Böyle bir hizmet olamaz,
888,Ak Yatırım maillerinden bıktım! Maillerin altında bulunan 'bilgilendirme maili almak istemiyorsanız tıklayın' butonuna girip mail almak istemediğimi işaretledim baktım hala atıyorlar bunlara güzel bir dille mail attım; istemiyorum rahatsız oluyorum devam ederseniz yasak haklarımı kullanacağım diye hala atıyorlar ya. Bir düşün yakamdan hiç hizmet almadım ne sizle ne sizin bağlı olduğunuz herhangi bir kuruluşla işim yok! Bu son uyarım manevi tazminatla birlikte dava edeceğim bilginiz olsun!,Ak Yatırım,,bilgilendirme maili almak istemiorsanız tıklayın|manevi tazminatla birlikte dava edeceğim bilginiz olsun|hiç hizmet almadım,
889,@TurkNetDestek arkadaşlar merhabalar aboneliği VDSL olarak talep etmiş fakat adsl2+ diyor.sizlerin ayar yapması mı gerekli? nasıl otomatik olarak vdsl olabilir?,TurkNetDestek,,aboneliği VDSL olarak talep etmiş fakat adsl2+ diyor,
890,Halimiz bu gelen giden yok.....@toroslardestek,toroslardestek,,gelen giden yok,
891,16 Haziran Pazar (bayramın 1. Günü) almış olduğum supangle eve gelip kutusunu açtığımda küflü çıktı. Üstelik bu ilk de değil. İlçemizin en gözde mekanı olan ve severek ürünlerini tükettiğim pastanede bu kaçıncı fiyasko.\n\nÜstelik bu çöl sıcaklarında sütlü ürünlerin günlük yapılıp tüketilmesi gerektiğini en iyi kendileri bilmesi gerekirken bu durumu maalesef affedemiyorum. 2 yaşındaki bebeğim kaşığı alıp ağzına atmaya ramak kala fark etmem de cabası. Orhangazi titiz pastanesi. Bu nasıl bir esnaflık?,Orhangazi titiz pastanesi,,Bu nasıl bir esnaflık?|affedemiyorum|küflü çıktı,
892,Yazarımız Cem Kınay 27 Ekim Cumartesi okuyucularıyla buluşuyor...@cemkinay #DestekMedyaGrubu,Cem Kınay|DestekMedyaGrubu,okuyucularıyla buluşuyor,,
893,İlk defa bir alışveriş yaptım oda burnumdan geldi patlak geldi koli komple dağılmış,,,koli komple dağılmış|patlak geldi,
894,Cumartesi geceden beri internetimiz yok. DSL ışığı hiç yanmıyor ve hiçbir şekilde müşteri hizmetlerine ulaşamıyorum. Çalmadan atıyor ya da çalıyor açan yok. Bu nasıl hizmet anlamıyorum. Bir an önce sorunumun çözülerek mağduriyetimin giderilmesini rica ediyorum.,,,hiçbir şekilde müşteri hizmetlerine ulaşamıyorum|DSL ışığı hiç yanmıyor,
895,Merhabalar ben henüz sipariş vermedim ama öncelikle bir şikayet var mı diye bakmak istedim. Tüzder'in yayınlarını almak istiyorum. Yani elinizde tedarik yoksa boşuna sipariş vermek istemiyorum. Geri dönüş yaparsanız sevinirim çünkü insanlar çok mağdur olmuş ben de mağdur olmak istemiyorum.,Tüzder,,,
896,Bu haykırışlarımızı dogruluğumuzu görün artık @VakifBank @VakifBankDestek @RTErdogan @trwealthfund @NureddinNebati @vedatbilgn @HMBakanligi @iletisim Hakkımız olan kadromuzu verin artık,VakifBankDestek|trwealthfund|iletisim|VakifBank|RTErdogan|HMBakanligi|NureddinNebati|vedatbilgn,,Hakkımız olan kadromuzu verin artık,
897,Lner olsun size sizin gibi dolandırıcılara @DSmartDunyasi @DSmartDestek,DSmartDunyasi|DSmartDestek,,dolandırıcılara,
898,Böylesine kötü bir yer görmedim. Paranızın karşılığını kesinlikle alamazsınız. Tuvaletler çok kirli ve hepsi arızalı. Duşlar bozuk. Mutfak ve tuvalet suyunu denizden alıp kullanıyorlar. Tamamen insanları mağdur etmeye çalışan bir işletme. Gece sarhoşların mekanı. Birbirine bıçak çeken insanları gördük. Bir daha asla gitmeyiz. Biz yandık siz de yanmayın.,,,Paranızın karşılığını kesinlikle alamazsınız|Böylesine kötü bir yer görmedim|Tuvaletler çok kirli ve hepsi arızalı|Duşlar bozuk|Mutfak ve tuvalet suyunu denizden alıp kullanıyorlar|Tamamen insanları mağdur etmeye çalışan bir işletme|Gece sarhoşların mekanı|Birbirine bıçak çeken insanları gördük|Bir daha asla gitmeyiz|Biz yandık siz de yanmayın,
899,Merhaba ben Mahmud Şeyh I****** T.C. 990*****876. Ankara'da Altındağ'da ikamet etmekteyim. 20 gündür internet hizmetimde kesintiler yaşanıyor ve şu ana kadar firmaya ulaştığımda genel bir arıza olduğunu ve yarın tamir edileceğini söylüyorlar. 'Yarın arıza tamamlanacak' diyorlar. Göknet Ltd. Şti.,Göknet,,,
900,Benim QNB Finansbank kredi kartımdan bilgim olmadan ve herhangi bir ürün karşılığı olmadan rızam ve bilgim dışında 499 TL'lik kart çekimi yapılmıştır. Bu paranın hemen ve acilen iadesini istiyorum. Aksi takdirde savcılığa suç duyurusunda bulunacağım.,QNB Finansbank,,bilgim olmadan|herhangi bir ürün karşılığı olmadan|rızam ve bilgim dışında|499 TL'lik kart çekimi yapılmıştır,
901,saat 04:37 bu saatte ttnet musteri memnuniyeti icin aranir mi @TTDestek bu ne terbiyesizlik,TTDestek,,bu saatte ttnet musteri memnuniyeti icin aranir mi|terbiyesizlik,
902,Şu an aydınlandım. Işıl ışıl oldum. İnandim kabul ettim. 🤪🤪😁,,,Şu an aydınlandım. Işıl ışıl oldum. İnandim kabul ettim.,
903,Exxen üyeliğimi iptal edemiyorum üyelik bilgilerinde iptal et butonu yok tıklanmıyor \nBoşuna kullanmadığım halde para çekiliyor hesabımdan nasıl bir web tarayıcısı bu.\nDaha önce aynı şekilde üyeliğimi iptal edebilmiştim bu kez özellikle mi kaldırılmış,Exxen,,üyeliğimi iptal edemiyorum|para çekiliyor,
904,Bugünkü Hürriyet Kelebek de ben varım...🏆💃💃💃 Hürriyet Kelebek #SeniYineSeverdim #trajikomikask #destekyayinlari,Hürriyet Kelebek|destekyayinlari,,,
905,BUNLARDAN ÇIKARIN SATIŞTA TÜRKİYE REKORU KIRALIM..#YellowFriday SESİMİZİ DUYY..@GSStore @GSStoreDestek,GSStore|GSStoreDestek|YellowFriday,,SESİMİZİ DUYY|TÜRKİYE REKORU KIRALIM,
906,#metastar #nft #football @rphmeier @asyilajelitaa @ASYardim,ASYardim|metastar|asyilajelitaa|rphmeier,,,
907,#superonline pişmanlıktır net..! 6 aydır ekip gönderecekler,superonline,,pişmanlıktır,
908,Robot mesaj atma iş yap. Elektirik ver çalış şu hatları üflesen güç kesilecek durumdan kurtar @kivanczaimler @enerjisa @enerjisadestek @SabanciHolding @arzusabanci,enerjisa|arzusabanci|enerjisadestek|SabanciHolding|kivanczaimler,,Robot mesaj atma iş yap|güç kesilecek durumdan kurtar,
909,Ne oldu da bu kadar kirlendin be @ucurbenipegasushava yolları kalitesini bu kadar düşürmenin ne alemi vardı?? @pegasusdestek @flymepegasus,ucurbenipegasus|pegasusdestek|flymepegasus,,bu kadar kirlendin,
910,Eylül 2000 tarihinden bugüne Turkcell müşterisiyim. 2023 Ağustos'ta 12 ay taahhütle 125 TL faturalı hattıma 2024 Mayıs ayından itibaren 23 Haziran 2024'te taahhüdünüz bitiyor mesajları gelmeye başladı. Taahhüdü yaptığım bayii Bursa Şengüller A.Ş.'den Y***** Bey'e gittim. 'E böyle ne yapalım?' falan dedi. Yeni taahhüt 270 TL %100+ artış. Ben işçi emeklisi 10.000 TL maaş alan biriyim. 10 ayda taahhüt kesip %100+ zam yapan Turkcell'den şikayetçiyim. Böylece 12 ayda 14 aylık para alıyorlar. Kendilerini uyanık zannediyorlar. Ve sanırım bu cep telefonu sektöründe kartel oluşturdular. Devletin bu işe el atıp bu şirketlere ceza kesmesi gerekmektedir.,Turkcell,,%100+ artış|%100+ zam|şikayetçiyim,
911,@Ecem92525944 Talebiniz alınmıştır iletiniz için teşekkür ederiz.,Ecem92525944,Talebiniz alınmıştır iletiniz için teşekkür ederiz,,
912,@sosyalyorumcuk @Akbank @AkbankDestek @BDDKResmi @ticaret @HMBakanligi Merhaba @sosyalyorumcuk  konuyla ilgili 16.08.2022 tarihinde özel mesaj üzerinden bilgi verilmiştir. Tekrar kontrol etmeni rica ederiz.💌✌🏻,Akbank|BDDKResmi|AkbankDestek|ticaret|HMBakanligi|sosyalyorumcuk,,,
913,@MrtMrl07 Merhaba DM üzerinden yönlendirme sağladık.,MrtMrl07,,,
914,Ne mobil uygulamanız açılıyor ne de telefonlarınız aranıyor ? @kuveytturk @KTDestek,KTDestek|kuveytturk,,açılıyor,
915,Ve... Mars'ta Superonline Fiberoptik kablolarını döşemeye başlar,Superonline,,,
916,Bursa Tuz Pazarı Çarşısı’nda tarihi yapının @EvkurDestek @EvkurOnline pardon çiviler ile imtihanı...#Bursa #Tuzpazarı #Kapalıçarşı #DeriSaadet,EvkurDestek|EvkurOnline|Tuzpazarı|Kapalıçarşı|DeriSaadet,,çiviler ile imtihanı,
917,Başka bankadan talep ettiğim Troy 2 günde geldi. Sizde şubede kredi kartı yok telefonla talep edince 15 günde gelir diyorsunuz. NFC özelliği olmayan banka kaldı mı bilmiyorum ama sizde o da yok. Müşteriyi cepte görüyorsunuz gibi geldi. @KTDestek,KTDestek|Troy,,NFC özelliği olmayan banka kaldı mı bilmiyorum ama sizde o da yok|Müşteriyi cepte görüyorsunuz gibi geldi,
918,Doğma büyüme Arçelikliyim. Bir yanlış davranış servisin beceriksizliği ve genel tutum. İşte sonuç. Sırada buzdolabı var. Bilin bakalım hangi marka olmayacak. @arcelik @ArcelikDestek,arcelik|ArçelikDestek,,beceriksizliği|yanlış davranış,
919,Şu fotoğrafın üstüne şimdi cevap olarak bana Merhaba birimlerimize iletebilmem için konunun detaylarını DM ile paylaşabilir misiniz? Teşekkürler. Yazacaksınız değilmi!!! Gerçekten merak ediyorum bu kadar ertelenecek ne olmuş olabilir @AJET_TR @AJ_Destek,AJET_TR|AJ_Destek,,bu kadar ertelenecek ne olmuş olabilir,
920,Samsun Bafra Domino's Pizza şubesinden iki tane dürüm pizza ve yanına ayran siparişi vermiştim. Ancak siparişler dört kere yanlış geldiği için bu sefer de yanlış geldi. İnsanlar yorulmasın tekrar gel-git yapmasınlar diye söylemek istemedim. Sonrasında 15 saat geçti ve kurye geri geldi benden siparişi geri istedi. Kuryeye siparişleri yediğimi ve bunun benim problemim değil onların problemi olduğunu sürekli yanlış getirdiklerini ve getirdikten 5 dakika sonra değil de 15 saat sonra gelmemeleri gerektiğini söyledim. Üstüne parayı istediler tartışma uzamasın diye parayı geri verdim. Sonra Domino's'u aradım Domino's da bu yapılan şeyi destekledi. Gece saat 12:00'de evime geldiler ve herkes uyurken zile bastılar. İki-üç kere tekrar kapattığım halde tekrar tekrar bastılar. Kuryeleri zaten hiç iyi değil her şeyi eksik ve yanlış bir şekilde getiriyorlar. Kendileri bunu telafi etmek yerine daha çok üstüne gidiyorlar. Ayrıca iki tane sipariş parası ödedim. Bir daha asla sipariş vermem.,Domino's Pizza|Domino's,,yanlış geldiği için bu sefer de yanlış geldi|her şeyi eksik ve yanlış bir şekilde getiriyorlar|sürekli yanlış getirdiklerini|İnsanlar yorulmasın tekrar gel-git yapmasınlar diye söylemek istemedim|15 saat sonra gelmemeleri gerektiğini söyledim|bunu telafi etmek yerine daha çok üstüne gidiyorlar|Bir daha asla sipariş vermem,
921,30 mayıs 1.30istanbul ankara aracınızın samandıra tesislerine geldiğimde iptal edildiğini öğreniyorum. Tarafıma iptal edildiğine dair ne bir mesaj ne de arayarak bilgi veriliyor? @metrodestek,metrodestek,,iptal edildiğini öğreniyorum,
922,Bayram nedeniyle nakit ihtiyacımız için 20 bin TL ATM'den para çekmek istedik fakat üst limiti ücret talep etmeden 10 bin TL olarak belirlemişler. Karekod ile para çekme işlemi yapayım belki olur dedim çünkü bazı işlemler ATM'den gerçekleştirilemiyor karekodla olabiliyor. 10 bin TL ATM'den işlem yaparak çektim ve karekodla da 10 bin TL daha para çekme işlemi yaptım. Sonra mobil bankacılıkla kontrol ettim ve 200 TL \,ATM,,üst limiti ücret talep etmeden 10 bin TL olarak belirlemişler,
923,Sayın @kuveytturk kurumsal sisteminizden tarafıma şöyle bir mesaj geldi. Sisteminiz mi haclendi yoksa bu bir bayram hediyesi mi? Acil bir cevap/izah bekliyorum.@KTDestek,kuveytturk|KTDestek,,Sisteminiz mi haclendi yoksa bu bir bayram hediyesi mi? Acil bir cevap/izah bekliyorum,
924,Yapı Kredi’den KOBİ’lere Özel ‘Sedir Paketi’: Banka KOBİ müşterilerine tüm bankacılık ürün ve hizmetlerini bin li... http://bit.ly/a9jpRk,Yapı Kredi,,,
925,Bir tüketici olarak Yaptığım değerlendirmelerim Şüpheli Yorum olarak geri dönüyor. Canlı desteğinizle görüştüm birşey yapamadı. Sürekli alışveriş yapan bir insan olarak bu durum benim yorum değerlendirme yapmamı engelliyor. Neden şüpheli bunu merak ediyorum @TrendyolDestek,TrendyolDestek,,Şüpheli Yorum olarak geri dönüyor|yorum değerlendirme yapmamı engelliyor,
926,Eve.com'dan sipariş verdim ve siparişimin son durumunu öğrenmek için gerekli kodu girdiğim halde hata veriyor. Bu neden oluyor? Evde olamayacağım iki gün sonra ve benim siparişi yarın almam lazım ki iade edilmesin. Gereksiz yere mağdur oluyorum. Burada bu sorunu çözer misiniz?,Eve.com,,iade edilmesin|mağdur oluyorum,
927,@BtcTurkDestek @btcturk,BtcTurkDestek|btcturk,,,
928,100 mbps e kadar hız hakkınız diyorsunuz. Ama müşteri hizmetleriniz adsl e mahkum ediyor. @TurkNetDestek @TurkNetAdsl,TurkNetDestek|TurkNetAdsl,,adsl e mahkum ediyor,
929,TurkNet Online Destek Ekibi'ne ulaşmak için http://twitter.com/turknetdestek ! #turknet #turknetdestek #turknetadsl,TurkNet|turknetdestek|turknetadsl,,,
930,VakıfBank zorunlu olarak esnek hesap tanımlayıp bir de esnek hesap için hayat sigortası sattı esnek hesap istemiyorum hayat sigortası da istemiyorum. Telefonda olmaz şubeye gelin diyorlar. VakıfBank'tan 1 kredi çektim her an hesabı kontrol etmem gerekiyor arkamı her döndüğümde hayat sigortası sağlık sigortası kazandıran tarife vs şeklinde sürekli para kesiliyor.,VakıfBank,,esnek hesap istemiyorum hayat sigortası da istemiyorum|sürekli para kesiliyor,
931,Ürün sağlam şekilde elime ulaştı. Ucuza bulduğunuzda kaçırmayın.,,Ucuza bulduğunuzda kaçırmayın|Ürün sağlam şekilde elime ulaştı,,
932,Rüzgarnet 4 gündür internet yok. Arıyorum gelecekler diyorlar. Gelen giden yok. Kimsenin gelmediğini söyleyince gelmeden önce sizi ararlar diyorlar.\n\nDalga geçer gibi. Arıza ile kesinlikle ilgilenmiyorlar. Kaç defa aradım değişen bir şey olmadı. Sayın yetkililer lütfen bir an önce arızayı giderin.,Rüzgarnet,,4 gündür internet yok|değişen bir şey olmadı|Arıza ile kesinlikle ilgilenmiyorlar|Gelen giden yok,
933,kac gun oldu kargom esenyurtta aradigimizda da kimsenin kimseden haberi yok nasil is yapiyosunuz ya @Trendyol @TrendyolDestek,Trendyol|TrendyolDestek,,kac gun oldu kargom esenyurtta aradigimizda da kimsenin kimseden haberi yok nasil is yapiyosunuz ya,
934,A Jet firmasından aldığımız bilet ve Vf4056 sefer sayılı uçağımızın kalkış saati 20:55 idi. Hâlâ küçük bebek ve yaşlı insanlar bekletiliyor (saat 22:24) ve sürekli erteleme mesajı geliyor. Firma değiştiyse ve bunu tam olarak yapamıyorsanız yapmayın. Bu insanların suçu değil. İnsanları bu şekilde mağdur etme hakkınız yok. Görevliler insanları sürekli oyalıyor. Bebekler ve insanlar çıldırmış durumda. Yaşlı insanlar nasıl evlerine geri dönecek? Gecenin bir vakti. A Jet ile ilgili her kişiden aynı şikayetleri duyuyoruz. Alanda 8-9 saat bekleyenler sürekli mağdur edilen insanlar var. Bununla ilgili acil çözüm bekliyoruz.,A Jet,,sürekli erteleme mesajı geliyor|İnsanları bu şekilde mağdur etme hakkınız yok|sürekli oyalıyor|çıldırmış durumda|mağdur edilen insanlar var|kalkış saati 20:55 idi. Hâlâ küçük bebek ve yaşlı insanlar bekletiliyor,
935,Kamil Koç ikram vermemeye ne kadar devam ediceksin @kamilkocdestek,kamilkocdestek,,ikram vermemeye ne kadar devam ediceksin,
936,Modem kurulumunu yapamiyorum. Aradığımda da müşteri temsilcesine ulaşamıyorum @TurkNetDestek,TurkNetDestek,,Modem kurulumunu yapamiyorum|ulaşamıyorum,
937,Son iki günden beri gün içerisinde en az 10 defa internette kopma sorunu yaşıyorum. Sorunun nereden kaynaklandığını bilmek için tarafımla iletişime geçilmesini istiyorum. Daha öncesinde bu şekilde sık kopmalar yaşamıyorduk ama son iki gündür bezdirdi. Artık başka bir internet sağlayıcı şirkete geçmeyi düşünmeye başlayacağım.,,,kopma sorunu yaşıyorum|bezdirdi|geçmeyi düşünmeye başlayacağım,
938,Şöyle bir numara arayıp @DSmartDunyasi müşteri hizmetlerinden aradığını uydu güncellemesi adı altında 1990 TL faturaya bedel yansıtılacağını 990 TL indirim kuponuyla 1.000 TL yansıtılacağını söyleyip duruyor. Bu nedir? @DSmartDestek,DSmartDunyasi|DSmartDestek,,uydu güncellemesi adı altında 1990 TL faturaya bedel yansıtılacağını 990 TL indirim kuponuyla 1.000 TL yansıtılacağını söyleyip duruyor. Bu nedir?,
939,Baby care marka bebek arabası satın aldık. Nereden aldığımızı sorguluyoruz. Keşke almasaydık. Bebeği mi biz sürüyoruz bebek mi bizi sürüyor belli değil. Ön tekerlekler sağa sola dönmüyor özellikle fayans üzerinde. Alışveriş merkezine gitmeye korkuyoruz. Bebek arabasını resmen sürüklüyoruz ya da ön tekerleği Elle düzeltmek zorunda kalıyoruz. Fayans üzerinde hiç sağa sola dönmüyor; ön tekerlekler kilitlenip kalıyor. Baby care buna bir çözüm bulsun,Baby care,,Bebeği mi biz sürüyoruz bebek mi bizi sürüyor belli değil|Ön tekerlekler sağa sola dönmüyor özellikle fayans üzerinde|Alışveriş merkezine gitmeye korkuyoruz|Bebek arabasını resmen sürüklüyoruz ya da ön tekerleği Elle düzeltmek zorunda kalıyoruz|Fayans üzerinde hiç sağa sola dönmüyor; ön tekerlekler kilitlenip kalıyor,
940,Neden fon satışı yapamıyorum? Bu yıl biraz problemli mi geçiyor ne? @AkbankDestek @Akbank @AkbankYatirimci,AkbankDestek|AkbankYatirimci|Akbank,,fon satışı yapamıyorum,
941,Vodafone'dan almak istediğim 3 GB internet paketinin tarafıma yansıtılmaması ve durumu müşteri hizmetlerine aktardığımda hiçbir sonuç alamadığım hatta müşteri hizmetlerinin defalarca kez suratıma kapatmasının insanı o kadar kötü hissettirmesi Vodafone firmasının yapılan şikayeti göz önüne almayarak bile yardımcı olmaması çok üzücü bir durumdur. Bugün 3 GB interneti ek paket olarak satın aldım. Vodafone'un bana vermesi gerektiği 3 GB interneti param ile satın almam çok üzücü bir durum. Hesabımın e-posta adresinin onaylanması ile birlikte internet paketinin tarafıma yansıtılmaması büyük mağduriyet yaratmıştır.,Vodafone,,yardımcı olmaması|suratıma kapatmasının insanı o kadar kötü hissettirmesi|büyük mağduriyet yaratmıştır.|3 GB internet paketinin tarafıma yansıtılmaması|hiçbir sonuç alamadığım|defalarca kez suratıma kapatması,
942,Tarifede ki 15 GB internet Bitti. Bunda Sıkıntı Yok Fakat Anlamadığım Neden Bana Karakartal 5 TL Destek Paketinden Kazandığım 1 GB İnternet Paketini Kullandırmak Yerine 6 TL ye 500 MB interneti Otomatik Olarak Hattıma Tanımlıyor sunuz ? @VodafoneDestek,VodafoneDestek,,15 GB internet Bitti|Bunda Sıkıntı Yok,
943,Maaş müşterisi olmama rağmen neden Fast para transferinde ücret kesiliyor? @Akbank @AkbankDestek,Akbank|AkbankDestek,,Maaş müşterisi olmama rağmen neden Fast para transferinde ücret kesiliyor?,
944,Müşteri hizmetleri yardımcı olmuyor. İnternet çekmiyor ve bu kadar para veriyoruz. Bu konuda çok şikayetçiyiz. İptal etmek istiyorum fakat iptal de edilmiyor. Kesinlikle şikayetçiyim. Acilen yardım edilsin.,,,İnternet çekmiyor|yardımcı olmuyor|İptal etmek istiyorum fakat iptal de edilmiyor|şikayetçiyiz,
945,Orijinal başlıklar ve kaliteli,,kaliteli|Orijinal başlıklar,,
946,Ürünlerim nerede ??? Nedengeri bildirim yapılmıyor ?????@cevalogistics @KoctasDestek @Koctas,KoctasDestek|Koctas|cevalogistics,,Nedengeri bildirim yapılmıyor|Ürünlerim nerede,
947,İnfoteks marka yazar kasam bir haftadır servis zorunlu konumunda çalışmıyor. WhatsApp üzerinden de yazıyorum ancak cevap veren kimse yok. Mağduruz niçin mağdur ediliyoruz bu şekilde. Trendyol üzerinden satın almıştım. Diğer yazar kasamda bir sıkıntı yaşasam hemen düzeltiliyordu bu markaya kadar bu şekilde sıkıntı hiç yaşamamıştım.,İnfoteks|Trendyol|WhatsApp,,çalışmıyor|Mağduruz,
948,@mehmettopalomer @mehmettopalomer Merhaba telefon numaranızı DM üzerinden alabilir miyiz?,mehmettopalomer,,,
949,Markanın farkı kalite,,kalite,,
950,Merhaba \n\n1032775343 Hizmet ıd numarasıyla 22 Mayısta başvurusunu yaptığım TÜRKSAT Kablo Net internet bağlantısı 19 gündür gerçekleşmedi. 'İlgili arkadaşlarımıza ilettik geri dönüş sağlayacağız.\,TÜRKSAT Kablo Net,,19 gündür gerçekleşmedi,
951,Mükemmel,,Mükemmel,,
952,Son zamanlarda uyuşturucu içicilerinin ve hırsızların mesken edindiği sokağımızda sokak lambasının yanmaması mükemmel ya. Gümüşpala Mahallesi Coşkun Sokak @BEDASDestek,BEDASDestek,,sokak lambasının yanmaması mükemmel ya,
953,Hattımı Turkcell'e taşımak istiyorum. Fakat inceleme süreçleri 10 gündür bitmedi ve hala devam ediyor diye SMS gönderiyor. 532'yi aradığımda ise çözüm ekibi üzerinde çalışıyor diyorlar. \nDilekçe yazdım nüfus fotokopisi ekledim 3 gün sonra ehliyet istediler. Bir daha gittim sonra ikamet istediler onu da verdim. Üzerinden 10 gün geçti ve hala Sonuç yok,Turkcell,,Hattımı Turkcell'e taşımak istiyorum|çözüm ekibi üzerinde çalışıyor diyorlar,
954,@BahcelievlerBel @BevlerDestek Teşekkür ederim 🤗,BevlerDestek|BahcelievlerBel,Teşekkür ederim,,
955,bu fiyata hakikaten en iyisi,,en iyisi,,
956,Dün akşam dört kişi Kekik Restorana gittik ama iki bayan kapalı olduğumuz için yer olmasına rağmen bizi almadılar. Müsait yerimiz yok deyip böyle işletmecilik görmedim. Ayıptır yani bir daha kapısından geçmem. Kendimizi kötü hissettik.,Kekik Restorana,,böyle işletmecilik görmedim|Kendimizi kötü hissettik|Ayıptır,
957,Arçelik’ten uzak durun paranızla rezil olursunuz @ArcelikDestek,ArcelikDestek|Arçelik’ten ,,paranızla rezil olursunuz,
958,5288**5906 numaralı Göknet fiber internet abonesiydim. İki yıllık taahhüt anlaşmam vardı ve bu anlaşmam 20.11.2023 tarihinde doluyordu. Bu yılın altıncı ayında taşındım ve adres değişikliği için aradığımda yeni taşındığım evin fiber altyapısı olmadığı için VDSL olarak devam edebileceğimi söylediler ve oldukça yüksek maliyetler çıkardılar. Ayrıca müşteri hizmetleri temsilcisinin sert ve kaba üslubu nedeniyle bu teklifi kabul etmedim ve yaklaşık altı ay boyunca hizmeti hiç kullanmadım. Taahhüdümün bitimine on gün kala yani ayın 20'sinde biteceğini öğrenmek için aradım. Ayın 19'unda arayıp kapatma talebinde bulunabileceğim söylendi. Bu şekilde bana cayma bedeli yansıtılmayacağı garanti edildi. Ayın 19'unda aradım ve kapatma talebinde bulundum kabul edildi. Dilekçemi gönderdim ve bir sonraki gün kapatma işlemi onaylandı. Ancak iki gündür Göknet tarafından gelen mesajlarda 864.28 TL fatura borcu olduğu belirtiliyor. Bütün ödemelerimi otomatik olarak yaptım ve cayma bedelinin yansıtıldığını düşünüyorum. Bunun düzeltilmesini talep ediyorum.,Göknet,,sert ve kaba üslubu nedeniyle bu teklifi kabul etmedim|cayma bedelinin yansıtıldığını düşünüyorum|yeni taşındığım evin fiber altyapısı olmadığı için VDSL olarak devam edebileceğimi söylediler|oldukça yüksek maliyetler çıkardılar|yaklaşık altı ay boyunca hizmeti hiç kullanmadım|cayma bedeli yansıtılmayacağı garanti edildi|kapatma talebinde bulundum kabul edildi|Dilekçemi gönderdim ve bir sonraki gün kapatma işlemi onaylandı|Ancak iki gündür Göknet tarafından gelen mesajlarda 864.28 TL fatura borcu olduğu belirtiliyor|Bütün ödemelerimi otomatik olarak yaptım,
959,Yıllardır Netflix abonesiyim. 2 gün öncesine kadar Samsung marka televizyonum ile izlediğim Netflix'i bugün fotoğrafta gördüğünüz ekran görüntüsü ile izleyememeye başladım. Müşteri hizmetlerini aradığımda televizyonunuz 2014 ten eski mi diye bir soru aldım. Televizyonum 2013'te alınmıştı. Yeni bir karar almışlar 2014'ten eski televizyonlarda izlenmesine izin vermediklerini söylediler. Gördüğüm en saçma en insan haklarına aykırı kararlardan bir tanesi. Ben ödeme yaptığım halde televizyonumda Netflix izleyemiyorum. 3 gün öncesine kadar izleyebildiğim herhangi bir sorun yaşamadığım uygulamayı televizyonum eski model diye izlememe izin vermiyorlar. Bunun kararını ben vermeliyim sen bu hizmeti sağlamaktan mesulsün ben şayet sorun yaşarsam bu televizyonla izlerken gerekli önlemi alırım ama sorun yaşamadığım gayet güzel izleyebildiğim halde sen benden bu hakkımı alamazsın. Ne oldu hakların özgürlüklerin ülkesi Amerika şirketi?,Netflix|Samsung,,izleyememeye başladım|saçma|aykırı|izlememe izin vermiyorlar,
960,Bardak altında var olan ömür boyu garanti kaydı barkodu beni Carfoursa da başka ürünlere yönlendiriyor. Farklı yorum yazmadan cevabınızı bekliyorum.,Carfoursa,,,
961,✈️Gün batımlarında da güzel çıktığımızı söylemiş miydik? 😎Bu güzel anı yakalayarak bizimle paylaşan çalışma arkadaşımız Nesip Kavak’a teşekkür ederiz.#TürkHavaYolları,TürkHavaYolları,,,
962,Ortalama olarak kat zemininde 6-7 cm su sürekli olarak durmaktadır. Bu su 14 katlı bir binanın temelinde ağır hasarlar ortaya çıkarmaktadır. İski’ye yaptığımız başvuru kaydımız aşağıda ki gibi olup halâ çözüm bulunamamıştır. @iskignmudurlugu @iski_destek,iskignmudurlugu|iski_destek|İski’ye ,,ağır hasarlar ortaya çıkarmaktadır|çözüm bulunamamıştır,
963,Ağva Pieria luxury otel'den 20 gün önceden rezervasyon yaptırmıştım ve karşı tarafla anlaşmıştık ben de 5.000 TL kapora gönderdim ve oraya gittiğimde odamın dolu olduğunu söylediler ama rezervasyon yapmamışlardı. Bana başka oda verdiler ama oda bana göre biraz kötü idi ben de fiyatta indirim yaparsanız odayı tutarım dedim Okey dediler ama sonra yan çizdiler ben de kızdım ve otelden ayrıldım bedava da kal deseniz kalmam dedim ve oteli terk ettim. Yani kısacası mağdur olan benim ama sanki mağdur onlarmış gibi davranıyorlar. Ayrıca da beni ikna etmek için bedava ya akşam yemeği bizden olsun dediler ama ben kabul etmedim. Bir daha da gitmem bu otele.,Ağva Pieria luxury otel,,,
964,Tek istediğim şey vodafone fiber internet. zaten musterinizim 1 aydır uğraşıyorum kimse bana yardımcı olmuyor.@VodafoneDestek,VodafoneDestek,,yardımcı olmuyor,
